user_id,video_id,watch_time_seconds,likes,comments,save,video_topics
10071,30399,39,1,1,0,history
10083,30414,29,0,1,0,programming
10029,30132,51,0,1,1,personal development
10067,30139,48,1,1,0,science
10009,30217,16,1,0,1,literature
10100,30064,23,0,0,0,programming
10065,30281,39,1,1,0,history
10043,30212,27,0,1,1,literature
10023,30455,25,1,0,1,personal development
10029,30179,22,0,0,0,science
10038,30017,56,1,1,0,history
10044,30354,54,1,1,1,literature
10024,30154,17,1,1,0,math
10092,30050,43,1,1,1,programming
10063,30135,5,0,0,1,math
10018,30090,29,1,1,1,science
10053,30417,12,0,0,1,personal development
10028,30266,45,0,0,0,literature
10093,30257,5,1,1,0,science
10033,30423,50,0,1,0,personal development
10073,30206,44,0,1,0,math
10038,30211,60,1,0,0,literature
10008,30430,36,0,0,1,math
10016,30377,11,1,1,0,programming
10019,30111,10,1,0,1,math
10095,30179,46,0,1,1,history
10076,30070,59,0,1,1,programming
10021,30124,25,1,0,1,programming
10057,30414,1,0,0,1,history
10035,30327,5,0,0,0,programming
10028,30354,34,1,0,1,programming
10066,30035,52,1,0,1,personal development
10060,30012,4,0,1,1,science
10061,30499,10,1,0,1,math
10099,30408,21,0,1,1,personal development
10063,30308,18,1,1,1,programming
10019,30193,17,1,0,1,literature
10009,30240,3,0,0,0,literature
10020,30470,20,0,0,0,history
10050,30334,17,1,1,1,history
10046,30118,27,0,1,1,literature
10062,30355,35,1,1,0,literature
10100,30292,31,0,0,0,history
10010,30437,29,1,0,1,science
10021,30143,47,1,1,1,programming
10094,30152,46,0,0,0,literature
10061,30183,34,1,0,1,science
10100,30462,11,0,1,1,personal development
10085,30022,13,1,1,0,literature
10002,30067,15,1,0,0,history
10048,30469,7,1,1,0,history
10033,30315,22,0,1,1,math
10006,30305,19,0,0,1,science
10071,30090,46,1,1,1,personal development
10010,30263,16,0,1,1,programming
10086,30484,48,0,0,0,literature
10081,30042,12,0,0,1,literature
10008,30162,28,1,0,1,history
10042,30092,19,0,0,0,history
10067,30310,55,0,1,1,programming
10070,30311,17,1,1,1,science
10090,30449,24,0,0,1,programming
10065,30175,24,1,1,0,history
10074,30092,31,1,0,1,programming
10092,30368,58,0,1,1,history
10084,30105,29,1,1,1,programming
10030,30422,48,1,0,0,personal development
10023,30390,41,1,1,1,science
10025,30141,47,1,0,1,math
10019,30396,6,1,0,0,programming
10095,30416,54,0,0,0,math
10095,30304,45,1,0,1,history
10094,30436,43,1,0,0,science
10037,30314,46,1,0,1,literature
10076,30090,7,1,1,1,math
10037,30470,3,0,0,1,math
10042,30211,26,1,0,1,programming
10049,30195,30,0,0,0,literature
10020,30102,42,1,1,0,personal development
10045,30432,26,0,1,1,personal development
10048,30415,50,1,1,1,history
10042,30412,12,0,1,0,history
10080,30405,11,0,0,1,literature
10014,30122,34,1,0,1,history
10034,30173,25,0,1,0,science
10084,30338,18,0,0,1,history
10050,30228,13,1,0,1,math
10051,30475,13,1,0,0,literature
10029,30000,29,0,0,1,personal development
10064,30429,6,0,0,0,history
10011,30019,28,1,1,0,math
10013,30484,28,0,0,0,programming
10037,30055,27,0,0,0,programming
10024,30260,28,1,0,1,literature
10078,30071,38,0,0,0,literature
10059,30420,29,0,1,1,programming
10031,30392,1,1,1,0,programming
10087,30221,39,1,0,1,science
10049,30102,36,1,0,0,literature
10041,30094,52,0,1,0,history
10046,30051,22,0,1,0,programming
10014,30211,43,0,1,1,literature
10019,30070,36,0,1,0,literature
10049,30069,44,1,0,1,literature
10001,30332,11,0,1,1,math
10052,30497,29,0,0,1,math
10014,30136,40,1,1,1,math
10053,30288,34,1,0,0,programming
10057,30368,8,1,1,0,science
10097,30183,56,1,0,0,history
10013,30285,56,1,0,1,programming
10098,30246,45,0,1,0,personal development
10089,30180,56,0,0,0,history
10055,30267,56,1,0,1,math
10036,30357,53,0,0,1,history
10084,30081,32,0,1,0,science
10026,30251,57,1,0,1,science
10042,30449,8,0,0,0,personal development
10049,30311,54,0,1,0,personal development
10014,30362,53,0,0,1,math
10073,30246,7,0,1,0,programming
10060,30328,60,1,1,1,history
10008,30184,31,1,1,0,math
10057,30061,59,1,1,0,literature
10044,30259,59,0,0,1,history
10066,30375,12,0,1,1,programming
10029,30203,7,0,1,1,math
10059,30162,34,1,1,1,science
10001,30260,49,0,0,1,programming
10001,30381,55,0,1,1,history
10057,30336,24,0,1,1,math
10031,30431,6,0,0,1,math
10048,30215,1,1,0,0,programming
10076,30056,22,1,0,0,programming
10031,30313,32,1,0,0,personal development
10077,30140,17,1,1,0,literature
10058,30472,5,0,0,1,history
10042,30298,19,1,0,1,science
10016,30223,6,1,0,0,programming
10002,30301,25,1,0,1,programming
10012,30002,8,0,0,1,literature
10040,30357,60,1,0,1,science
10080,30419,46,0,1,1,personal development
10098,30209,35,0,1,0,personal development
10068,30211,7,0,0,1,history
10002,30415,36,0,0,0,math
10016,30045,48,1,0,0,literature
10043,30255,12,0,1,1,math
10016,30330,46,1,0,1,math
10075,30362,44,1,1,1,math
10086,30137,9,0,1,0,math
10000,30053,48,0,1,0,personal development
10018,30325,2,1,1,1,personal development
10023,30466,8,1,0,1,personal development
10092,30196,32,1,0,1,programming
10080,30272,59,0,0,1,programming
10030,30077,30,1,0,0,programming
10030,30197,51,0,0,0,programming
10005,30495,59,0,0,0,math
10049,30390,37,0,1,0,programming
10014,30448,58,0,1,1,programming
10077,30180,28,0,1,0,literature
10088,30053,1,1,1,1,science
10072,30105,41,0,1,0,history
10016,30116,5,0,1,0,history
10020,30154,24,1,1,1,personal development
10031,30143,30,1,1,1,literature
10046,30422,38,1,0,1,personal development
10097,30377,29,0,0,0,math
10073,30478,48,1,1,1,math
10054,30378,41,0,1,1,literature
10008,30035,21,1,1,0,history
10097,30153,32,1,0,0,math
10095,30003,28,0,1,1,history
10021,30058,20,1,0,1,math
10074,30432,3,0,0,1,math
10073,30085,21,1,1,1,programming
10032,30237,5,0,1,1,personal development
10047,30105,25,0,0,1,science
10020,30250,50,0,1,0,programming
10047,30274,59,0,1,1,literature
10006,30057,30,1,1,1,science
10002,30096,12,1,0,1,literature
10006,30291,33,0,0,0,science
10017,30403,49,0,1,0,personal development
10059,30398,10,1,1,0,personal development
10096,30363,30,1,1,1,personal development
10019,30077,25,1,1,1,personal development
10082,30167,20,1,1,0,math
10088,30295,26,0,1,1,science
10003,30366,31,0,0,1,programming
10049,30406,47,1,0,1,science
10073,30303,60,1,1,1,programming
10060,30410,1,1,1,1,math
10020,30273,43,0,0,0,science
10026,30385,11,1,0,1,history
10024,30434,12,0,1,1,history
10048,30338,4,0,1,1,history
10089,30283,8,1,1,1,literature
10043,30102,45,0,0,0,programming
10043,30204,58,0,0,1,personal development
10022,30103,43,0,1,1,personal development
10031,30488,32,1,1,1,personal development
10052,30222,41,0,1,1,history
10095,30163,54,1,0,0,history
10034,30314,48,1,1,1,math
10019,30414,8,1,0,1,science
10009,30434,28,0,0,1,history
10057,30234,6,1,0,1,programming
10088,30348,54,0,1,1,programming
10042,30490,1,0,0,1,personal development
10072,30366,28,0,0,1,personal development
10064,30081,24,0,1,1,personal development
10079,30150,39,1,1,1,science
10079,30067,48,0,1,1,programming
10013,30284,31,0,0,1,science
10056,30062,38,1,0,1,science
10039,30314,40,0,1,0,programming
10044,30174,13,0,1,1,programming
10040,30171,11,1,0,1,personal development
10068,30141,41,1,1,0,literature
10063,30136,47,0,0,1,programming
10035,30306,50,1,0,0,personal development
10006,30489,46,1,0,1,literature
10030,30093,12,0,0,1,science
10061,30398,27,0,0,1,programming
10047,30499,20,1,0,1,programming
10037,30312,19,0,0,1,literature
10064,30349,2,0,1,1,literature
10021,30211,7,1,1,1,math
10037,30446,53,1,1,0,science
10017,30155,1,0,1,1,history
10005,30007,55,1,0,0,science
10026,30187,31,0,1,0,science
10095,30271,38,1,1,1,math
10083,30172,16,0,1,0,personal development
10007,30086,5,1,1,0,math
10022,30201,41,0,1,0,programming
10098,30344,15,1,1,1,personal development
10055,30353,36,1,1,1,programming
10071,30172,13,0,0,0,science
10050,30136,53,0,0,0,science
10089,30315,5,0,0,1,math
10041,30281,53,1,1,1,literature
10092,30052,23,0,0,0,math
10074,30189,40,0,0,1,science
10040,30022,16,1,1,0,science
